mesh_level,gap_mm,Fx_off_mN,Fy_off_mN,Fz_off_mN,Fx_on_mN,Fy_on_mN,Fz_on_mN,Fx_hold_diff_mN,Fy_hold_diff_mN,Fz_hold_diff_mN,elements,DOF,min_quality,same_mesh_verified,status
M_h003,0.250000000000,-0.265773983182,-0.494451427792,-0.320259786578,-0.433319317553,-0.494384659524,-0.320220320033,-0.167545334371,6.67682673963e-05,3.94665443416e-05,194203,259858,0.166200000000,true,SUCCESS
M_h003,0.260000000000,0.0269712792210,-0.546252858284,-0.0477912212463,-0.131474252918,-0.546187774581,-0.0477748606935,-0.158445532139,6.50837023364e-05,1.63605527494e-05,194308,259965,0.162000000000,true,SUCCESS
M_h003,0.270000000000,-0.0156619983697,-0.280584443305,0.253375258072,-0.165530337527,-0.280539657893,0.253382577326,-0.149868339158,4.47854121123e-05,7.31925398934e-06,193474,258861,0.0882500000000,true,SUCCESS
M_h003,0.280000000000,-0.324883642196,-0.129390260870,0.290193281808,-0.467183151583,-0.129351553981,0.290208531735,-0.142299509387,3.87068892858e-05,1.52499274883e-05,194017,259614,0.177200000000,true,SUCCESS
M_h003,0.290000000000,0.0230401121348,0.536192783926,-0.384439215779,-0.112064147172,0.536228325058,-0.384461497897,-0.135104259307,3.55411321905e-05,-2.22821176432e-05,193872,259391,0.195100000000,true,SUCCESS
M_h003,0.300000000000,-0.247610304809,-0.192087673212,0.0340978041925,-0.375970317168,-0.192057256300,0.0341205124406,-0.128360012359,3.04169117476e-05,2.27082480831e-05,194131,259754,0.160600000000,true,SUCCESS
M_h002,0.250000000000,-0.126983868203,0.0105895731896,0.117417654233,-0.294790929058,0.0106459343768,0.117341822117,-0.167807060856,5.63611871653e-05,-7.58321157396e-05,423286,565671,0.214800000000,true,SUCCESS
M_h002,0.260000000000,-0.183198710052,0.0659128037256,-0.103489050248,-0.342295132186,0.0659571300345,-0.103543059188,-0.159096422134,4.43263089055e-05,-5.40089399800e-05,422213,564218,0.153800000000,true,SUCCESS
M_h002,0.270000000000,-0.255901047513,-0.254206663546,-0.256370234513,-0.406596980944,-0.254170212676,-0.256342963405,-0.150695933431,3.64508703035e-05,2.72711071113e-05,422275,564290,0.162200000000,true,SUCCESS
M_h002,0.280000000000,0.0727731607647,0.0869728584624,0.272802075134,-0.0699473722241,0.0870275610727,0.272779953344,-0.142720532989,5.47026102670e-05,-2.21217903041e-05,422394,564457,0.177800000000,true,SUCCESS
M_h002,0.290000000000,-0.120700637108,-0.100923983050,0.124840127656,-0.256284386127,-0.100885009091,0.124829221165,-0.135583749019,3.89739587946e-05,-1.09064910376e-05,422823,565058,0.0823100000000,true,SUCCESS
M_h002,0.300000000000,-0.0970714725214,0.0301922442887,0.00121521818139,-0.225873547610,0.0301981475485,0.00124210321918,-0.128802075088,5.90325975797e-06,2.68850377915e-05,423088,565385,0.144600000000,true,SUCCESS
