model,Bprobe,point_x_mm,point_y_mm,point_z_mm,Bx_T,By_T,Bz_T,normB_T,Hx_Apm,Hy_Apm,Hz_Apm,normH_Apm,status
H:/comsolcc/local_force_audit_140_phi90_20260911/L0/solved.mph,gap_mid,-1.140000,0.000000,0.000000,0.453009958877,0.000773843010535,-0.00179840196356,0.453014189539,360493.871071,615.804701426,-1431.12281062,360497.237726,SUCCESS
H:/comsolcc/local_force_audit_140_phi90_20260911/L0/solved.mph,cylinder_plus_y_air,0.000000,0.600000,0.000000,-0.0731817862735,9.30465577288e-05,-0.00185105976345,0.0732052520116,-58236.2151399,74.0440979900,-1473.02655633,58254.8885810,SUCCESS
H:/comsolcc/local_force_audit_140_phi90_20260911/L0/solved.mph,cylinder_plus_z_air,0.000000,0.000000,0.600000,-0.0732680043770,1.06633783767e-05,-0.00205098591292,0.0732967060809,-58304.8253266,8.48564689228,-1632.12273102,58327.6654169,SUCCESS
H:/comsolcc/local_force_audit_140_phi90_20260911/L0/solved.mph,near_outer_air,2.000000,0.000000,0.000000,0.0419325190207,-0.00117411960456,-0.000791254929204,0.0419564153930,33368.8383872,-934.334694097,-629.660666049,33387.8545161,SUCCESS
H:/comsolcc/local_force_audit_140_phi90_20260911/L1/solved.mph,gap_mid,-1.140000,0.000000,0.000000,0.456381969925,-0.00100515507604,-0.00150904808758,0.456385571678,363177.232204,-799.876994506,-1200.86231233,363180.098387,SUCCESS
H:/comsolcc/local_force_audit_140_phi90_20260911/L1/solved.mph,cylinder_plus_y_air,0.000000,0.600000,0.000000,-0.0732718077557,5.30176504264e-05,-0.00189509449394,0.0732963300978,-58307.8519593,42.1901056761,-1508.06828146,58327.3662191,SUCCESS
H:/comsolcc/local_force_audit_140_phi90_20260911/L1/solved.mph,cylinder_plus_z_air,0.000000,0.000000,0.600000,-0.0734029540777,0.000161986898089,-0.00200377159692,0.0734304773762,-58412.2148863,128.905077716,-1594.55077214,58434.1172313,SUCCESS
H:/comsolcc/local_force_audit_140_phi90_20260911/L1/solved.mph,near_outer_air,2.000000,0.000000,0.000000,0.0418827948327,-0.000295572902765,-0.00211121265271,0.0419370133081,33329.2691356,-235.209442560,-1680.04964774,33372.4148275,SUCCESS
H:/comsolcc/local_force_audit_140_phi90_20260911/L2/solved.mph,gap_mid,-1.140000,0.000000,0.000000,0.455136493687,0.000968927479925,-0.00351793497932,0.455151120588,362186.113705,771.047989522,-2799.48370676,362197.753423,SUCCESS
H:/comsolcc/local_force_audit_140_phi90_20260911/L2/solved.mph,cylinder_plus_y_air,0.000000,0.600000,0.000000,-0.0731396470431,-4.38313197248e-05,-0.00186115655176,0.0731633364089,-58202.6818058,-34.8798559770,-1481.06132518,58221.5332041,SUCCESS
H:/comsolcc/local_force_audit_140_phi90_20260911/L2/solved.mph,cylinder_plus_z_air,0.000000,0.000000,0.600000,-0.0733520344788,3.81200287183e-05,-0.00199836169943,0.0733792604541,-58371.6943570,30.3349550021,-1590.24571251,58393.3600998,SUCCESS
H:/comsolcc/local_force_audit_140_phi90_20260911/L2/solved.mph,near_outer_air,2.000000,0.000000,0.000000,0.0422835140694,0.00260287729476,-0.00147097903325,0.0423890824575,33648.1513722,2071.30393830,-1170.56792145,33732.1600261,SUCCESS
