"z_sphere_mm","alpha_deg","Fmin_mN","Fmax_mN","phi_at_Fmax_deg","phi_at_Fmin_deg","DeltaFx_ball_at_Fmax_mN","Fx_hold_corr_mN","all_sampled_phi_negative","release_candidate","elements","min_quality","zero_360_closure_error_mN","status"
"60.0000000000","20.0000000000","-0.799877812643","-0.275810777808","90.0000000000","270.000000000","-0.147532780972","-0.128277996837","True","False","871414","0.210300000000","1.93999927234E-10","SUCCESS"
"70.0000000000","20.0000000000","-0.630093149493","-0.0915748385893","90.0000000000","270.000000000","0.0365140777993","-0.128088916389","True","False","871852","0.220000000000","2.65999999804E-10","SUCCESS"
"75.0000000000","20.0000000000","-0.552682014742","-0.0623004490119","90.0000000000","270.000000000","0.0657385583151","-0.128039007327","True","False","871777","0.220600000000","2.40999997736E-10","SUCCESS"
"80.0000000000","20.0000000000","-0.489944255332","-0.0377275853838","90.0000000000","270.000000000","0.0902977921173","-0.128025377501","True","False","872672","0.216700000000","3.55000029373E-10","SUCCESS"
"85.0000000000","20.0000000000","-0.431149520029","-0.0371298571051","90.0000000000","270.000000000","0.0909242290518","-0.128054086157","True","False","872556","0.211600000000","2.22000001715E-10","SUCCESS"
"90.0000000000","20.0000000000","-0.384949914676","-0.0357680710022","90.0000000000","270.000000000","0.0924349559869","-0.128203026989","True","False","872619","0.211700000000","1.17999998661E-10","SUCCESS"
"100.000000000","20.0000000000","-0.309960602922","-0.0510024501576","90.0000000000","270.000000000","0.0771491251510","-0.128151575309","True","False","872842","0.220600000000","1.02000000113E-09","SUCCESS"
"120.000000000","20.0000000000","-0.221651071751","-0.0821603145110","90.0000000000","270.000000000","0.0459837187077","-0.128144033219","True","False","871685","0.212300000000","2.68000011072E-10","SUCCESS"
"140.000000000","20.0000000000","-0.177070704410","-0.103101386692","90.0000000000","270.000000000","0.0250656605614","-0.128167047254","True","False","872877","0.213200000000","7.99998955969E-12","SUCCESS"
"160.000000000","20.0000000000","-0.152810594702","-0.117382065607","90.0000000000","270.000000000","0.0107366372650","-0.128118702872","True","False","871490","0.214700000000","1.3900000595E-10","SUCCESS"
