"z_sphere_mm","alpha_deg","phi_deg","mesh_level","Fx_B0_raw_mN","Fx_B1_raw_mN","Fx_B2_raw_mN","Fx_hold_corr_mN","DeltaFx_ball_mN","Fx_total_corr_mN","Fy_total_corr_mN","Fz_total_corr_mN","elements","DOF","min_quality","same_mesh_verified","release_candidate","status"
"60.0000000000","20.0000000000","0.00000000000","LOCAL_M03","0.0593560504636","-0.0689219463733","-0.480677850554","-0.128277996837","-0.411755904181","-0.540033901018","-0.502354392279","-0.0979433116660","871414","1163067","0.210300000000","true","MAGNETICALLY_HELD","SUCCESS"
"60.0000000000","20.0000000000","45.0000000000","LOCAL_M03","0.0593560504636","-0.0689219463733","-0.294477625723","-0.128277996837","-0.225555679350","-0.353833676187","-0.354930447811","-1.24844812896","871414","1163067","0.210300000000","true","MAGNETICALLY_HELD","SUCCESS"
"60.0000000000","20.0000000000","90.0000000000","LOCAL_M03","0.0593560504636","-0.0689219463733","-0.216454727345","-0.128277996837","-0.147532780972","-0.275810777808","-0.000173297162076","-1.72416533924","871414","1163067","0.210300000000","true","MAGNETICALLY_HELD","SUCCESS"
"60.0000000000","20.0000000000","135.000000000","LOCAL_M03","0.0593560504636","-0.0689219463733","-0.293278293346","-0.128277996837","-0.224356346973","-0.352634343810","0.354724733438","-1.24803547800","871414","1163067","0.210300000000","true","MAGNETICALLY_HELD","SUCCESS"
"60.0000000000","20.0000000000","180.000000000","LOCAL_M03","0.0593560504636","-0.0689219463733","-0.479000207097","-0.128277996837","-0.410078260723","-0.538356257560","0.502505793108","-0.0973871845656","871414","1163067","0.210300000000","true","MAGNETICALLY_HELD","SUCCESS"
"60.0000000000","20.0000000000","225.000000000","LOCAL_M03","0.0593560504636","-0.0689219463733","-0.663862706954","-0.128277996837","-0.594940760581","-0.723218757418","0.355982140515","1.05535459488","871414","1163067","0.210300000000","true","MAGNETICALLY_HELD","SUCCESS"
"60.0000000000","20.0000000000","270.000000000","LOCAL_M03","0.0593560504636","-0.0689219463733","-0.740521762180","-0.128277996837","-0.671599815807","-0.799877812643","0.000348741754615","1.53334758891","871414","1163067","0.210300000000","true","MAGNETICALLY_HELD","SUCCESS"
"60.0000000000","20.0000000000","315.000000000","LOCAL_M03","0.0593560504636","-0.0689219463733","-0.665035920916","-0.128277996837","-0.596113974543","-0.724391971379","-0.355449580682","1.05498076475","871414","1163067","0.210300000000","true","MAGNETICALLY_HELD","SUCCESS"
"60.0000000000","20.0000000000","360.000000000","LOCAL_M03","0.0593560504636","-0.0689219463733","-0.480677850361","-0.128277996837","-0.411755903987","-0.540033900824","-0.502354392152","-0.0979433128483","871414","1163067","0.210300000000","true","MAGNETICALLY_HELD","SUCCESS"
"80.0000000000","20.0000000000","0.00000000000","LOCAL_M03","-0.0185818322748","-0.146607209776","-0.282310552810","-0.128025377501","-0.135703343034","-0.263728720535","-0.152686350684","-0.0875921782404","872672","1164761","0.216700000000","true","MAGNETICALLY_HELD","SUCCESS"
"80.0000000000","20.0000000000","45.0000000000","LOCAL_M03","-0.0185818322748","-0.146607209776","-0.122423429473","-0.128025377501","0.0241837803027","-0.103841597198","-0.107953825066","-0.452287271261","872672","1164761","0.216700000000","true","MAGNETICALLY_HELD","SUCCESS"
"80.0000000000","20.0000000000","90.0000000000","LOCAL_M03","-0.0185818322748","-0.146607209776","-0.0563094176586","-0.128025377501","0.0902977921173","-0.0377275853838","-4.52812681595e-05","-0.603158720102","872672","1164761","0.216700000000","true","MAGNETICALLY_HELD","SUCCESS"
"80.0000000000","20.0000000000","135.000000000","LOCAL_M03","-0.0185818322748","-0.146607209776","-0.122823232123","-0.128025377501","0.0237839776526","-0.104241399848","0.107926866903","-0.452116118557","872672","1164761","0.216700000000","true","MAGNETICALLY_HELD","SUCCESS"
