"z_sphere_mm","alpha_deg","phi_deg","mesh_level","Fx_B0_raw_mN","Fx_B1_raw_mN","Fx_B2_raw_mN","Fx_hold_corr_mN","DeltaFx_ball_mN","Fx_total_corr_mN","Fy_total_corr_mN","Fz_total_corr_mN","elements","DOF","min_quality","same_mesh_verified","release_candidate","status"
"70.0000000000","20.0000000000","0.00000000000","LOCAL_M03","0.218071051806","0.0899821354178","-0.143459788285","-0.128088916389","-0.233441923703","-0.361530840092","-0.275975679483","-0.102570239149","871852","1163645","0.220000000000","true","MAGNETICALLY_HELD","SUCCESS"
"70.0000000000","20.0000000000","45.0000000000","LOCAL_M03","0.218071051806","0.0899821354178","0.0472386055470","-0.128088916389","-0.0427435298708","-0.170832446259","-0.195209327098","-0.744343827639","871852","1163645","0.220000000000","true","MAGNETICALLY_HELD","SUCCESS"
"70.0000000000","20.0000000000","90.0000000000","LOCAL_M03","0.218071051806","0.0899821354178","0.126496213217","-0.128088916389","0.0365140777993","-0.0915748385893","-0.000197269429437","-1.00959266410","871852","1163645","0.220000000000","true","MAGNETICALLY_HELD","SUCCESS"
"70.0000000000","20.0000000000","135.000000000","LOCAL_M03","0.218071051806","0.0899821354178","0.0475465324780","-0.128088916389","-0.0424356029398","-0.170524519328","0.195074297619","-0.743605786256","871852","1163645","0.220000000000","true","MAGNETICALLY_HELD","SUCCESS"
"70.0000000000","20.0000000000","180.000000000","LOCAL_M03","0.218071051806","0.0899821354178","-0.143023949373","-0.128088916389","-0.233006084790","-0.361095001179","0.276468046675","-0.101528127708","871852","1163645","0.220000000000","true","MAGNETICALLY_HELD","SUCCESS"
"70.0000000000","20.0000000000","225.000000000","LOCAL_M03","0.218071051806","0.0899821354178","-0.333243159122","-0.128088916389","-0.423225294540","-0.551314210929","0.196055400723","0.541188142906","871852","1163645","0.220000000000","true","MAGNETICALLY_HELD","SUCCESS"
"70.0000000000","20.0000000000","270.000000000","LOCAL_M03","0.218071051806","0.0899821354178","-0.412022097686","-0.128088916389","-0.502004233104","-0.630093149493","0.000690888940396","0.807381973022","871852","1163645","0.220000000000","true","MAGNETICALLY_HELD","SUCCESS"
"70.0000000000","20.0000000000","315.000000000","LOCAL_M03","0.218071051806","0.0899821354178","-0.333551601565","-0.128088916389","-0.423533736983","-0.551622653372","-0.194934384586","0.540452416695","871852","1163645","0.220000000000","true","MAGNETICALLY_HELD","SUCCESS"
"70.0000000000","20.0000000000","360.000000000","LOCAL_M03","0.218071051806","0.0899821354178","-0.143459788019","-0.128088916389","-0.233441923437","-0.361530839826","-0.275975679439","-0.102570240985","871852","1163645","0.220000000000","true","MAGNETICALLY_HELD","SUCCESS"
"75.0000000000","20.0000000000","0.00000000000","LOCAL_M03","-0.104961209491","-0.233000216818","-0.412970053478","-0.128039007327","-0.179969836660","-0.308008843987","-0.213010334139","-0.0925011599831","871777","1163550","0.220600000000","true","MAGNETICALLY_HELD","SUCCESS"
"75.0000000000","20.0000000000","45.0000000000","LOCAL_M03","-0.104961209491","-0.233000216818","-0.239385165517","-0.128039007327","-0.00638494869926","-0.134423956026","-0.149688935609","-0.582442124151","871777","1163550","0.220600000000","true","MAGNETICALLY_HELD","SUCCESS"
"75.0000000000","20.0000000000","90.0000000000","LOCAL_M03","-0.104961209491","-0.233000216818","-0.167261658503","-0.128039007327","0.0657385583151","-0.0623004490119","0.00127319070888","-0.785513009630","871777","1163550","0.220600000000","true","MAGNETICALLY_HELD","SUCCESS"
"75.0000000000","20.0000000000","135.000000000","LOCAL_M03","-0.104961209491","-0.233000216818","-0.239055662118","-0.128039007327","-0.00605544530004","-0.134094452627","0.151598749447","-0.583198007256","871777","1163550","0.220600000000","true","MAGNETICALLY_HELD","SUCCESS"
