z_sphere_mm,alpha_deg,phi_deg,Fx_B0_raw_mN,Fx_B1_raw_mN,Fx_B2_raw_mN,Fx_hold_corr_mN,DeltaFx_ball_mN,Fx_total_corr_mN,Fy_total_corr_mN,Fz_total_corr_mN,elements,DOF,min_quality,same_mesh_verified,status
108.000000000,-20.0000000000,0.00000000000,-0.0781216578110,-0.206344132274,-0.169050456883,-0.128222474463,0.0372936753912,-0.0909287990719,-0.0391175709275,0.0444083978717,871851,1163671,0.213700000000,true,SUCCESS
108.000000000,-20.0000000000,3.60000000000,-0.0781216578110,-0.206344132274,-0.162621711004,-0.128222474463,0.0437224212703,-0.0845000531929,-0.0390186301639,0.0361048680871,871851,1163671,0.213700000000,true,SUCCESS
108.000000000,-20.0000000000,7.20000000000,-0.0781216578110,-0.206344132274,-0.156218650312,-0.128222474463,0.0501254819617,-0.0780969925014,-0.0387659064973,0.0278341043046,871851,1163671,0.213700000000,true,SUCCESS
108.000000000,-20.0000000000,10.8000000000,-0.0781216578110,-0.206344132274,-0.149866545152,-0.128222474463,0.0564775871223,-0.0717448873408,-0.0383604078194,0.0196287342647,871851,1163671,0.213700000000,true,SUCCESS
108.000000000,-20.0000000000,14.4000000000,-0.0781216578110,-0.206344132274,-0.143590469509,-0.128222474463,0.0627536627647,-0.0654688116985,-0.0378037452647,0.0115211365142,871851,1163671,0.213700000000,true,SUCCESS
108.000000000,-20.0000000000,18.0000000000,-0.0781216578110,-0.206344132274,-0.137415194909,-0.128222474463,0.0689289373653,-0.0592935370979,-0.0370981251806,0.00354328677488,871851,1163671,0.213700000000,true,SUCCESS
108.000000000,-20.0000000000,21.6000000000,-0.0781216578110,-0.206344132274,-0.131365100938,-0.128222474463,0.0749790313359,-0.0532434431272,-0.0362463420333,-0.00427333742953,871851,1163671,0.213700000000,true,SUCCESS
108.000000000,-20.0000000000,25.2000000000,-0.0781216578110,-0.206344132274,-0.125464068826,-0.128222474463,0.0808800634481,-0.0473424110151,-0.0352517651032,-0.0118979176822,871851,1163671,0.213700000000,true,SUCCESS
108.000000000,-20.0000000000,28.8000000000,-0.0781216578110,-0.206344132274,-0.119735395952,-0.128222474463,0.0866087363220,-0.0416137381412,-0.0341183269231,-0.0193003836081,871851,1163671,0.213700000000,true,SUCCESS
108.000000000,-20.0000000000,32.4000000000,-0.0781216578110,-0.206344132274,-0.114201698571,-0.128222474463,0.0921424337033,-0.0360800407599,-0.0328505065538,-0.0264515501615,871851,1163671,0.213700000000,true,SUCCESS
