z_sphere_mm,alpha_deg,phi_deg,Fx_B0_raw_mN,Fx_B1_raw_mN,Fx_B2_raw_mN,Fx_hold_corr_mN,DeltaFx_ball_mN,Fx_total_corr_mN,Fy_total_corr_mN,Fz_total_corr_mN,elements,DOF,min_quality,same_mesh_verified,status
94.0000000000,-20.0000000000,0.00000000000,-0.107406028145,-0.235458704922,-0.165203208875,-0.128052676776,0.0702554960469,-0.0577971807295,-0.0787786515233,0.0617873883735,872415,1164430,0.220600000000,true,SUCCESS
94.0000000000,-20.0000000000,3.60000000000,-0.107406028145,-0.235458704922,-0.155635850175,-0.128052676776,0.0798228547465,-0.0482298220299,-0.0786233142918,0.0455830519061,872415,1164430,0.220600000000,true,SUCCESS
94.0000000000,-20.0000000000,7.20000000000,-0.107406028145,-0.235458704922,-0.146107081945,-0.128052676776,0.0893516229763,-0.0387010538000,-0.0781576762190,0.0294435337076,872415,1164430,0.220600000000,true,SUCCESS
94.0000000000,-20.0000000000,10.8000000000,-0.107406028145,-0.235458704922,-0.136654517990,-0.128052676776,0.0988041869320,-0.0292484898443,-0.0773836073387,0.0134325172291,872415,1164430,0.220600000000,true,SUCCESS
94.0000000000,-20.0000000000,14.4000000000,-0.107406028145,-0.235458704922,-0.127315471265,-0.128052676776,0.108143233657,-0.0199094431194,-0.0763041947492,-0.00238684896996,872415,1164430,0.220600000000,true,SUCCESS
94.0000000000,-20.0000000000,18.0000000000,-0.107406028145,-0.235458704922,-0.118126816656,-0.128052676776,0.117331888266,-0.0107207885103,-0.0749237280187,-0.0179521638473,872415,1164430,0.220600000000,true,SUCCESS
94.0000000000,-20.0000000000,21.6000000000,-0.107406028145,-0.235458704922,-0.109124834606,-0.128052676776,0.126333870315,-0.00171880646097,-0.0732476837714,-0.0332020569769,872415,1164430,0.220600000000,true,SUCCESS
94.0000000000,-20.0000000000,25.2000000000,-0.107406028145,-0.235458704922,-0.100345075204,-0.128052676776,0.135113629718,0.00706095294153,-0.0712827022044,-0.0480764032368,872415,1164430,0.220600000000,true,SUCCESS
94.0000000000,-20.0000000000,28.8000000000,-0.107406028145,-0.235458704922,-0.0918222132181,-0.128052676776,0.143636491704,0.0155838149272,-0.0690365612927,-0.0625165742592,872415,1164430,0.220600000000,true,SUCCESS
94.0000000000,-20.0000000000,32.4000000000,-0.107406028145,-0.235458704922,-0.0835899148671,-0.128052676776,0.151868790055,0.0238161132782,-0.0665181449609,-0.0764656546410,872415,1164430,0.220600000000,true,SUCCESS
94.0000000000,-20.0000000000,36.0000000000,-0.107406028145,-0.235458704922,-0.0756806991450,-0.128052676776,0.159778005777,0.0317253290003,-0.0637374087376,-0.0898686839760,872415,1164430,0.220600000000,true,SUCCESS
94.0000000000,-20.0000000000,39.6000000000,-0.107406028145,-0.235458704922,-0.0681258139865,-0.128052676776,0.167332890935,0.0392802141588,-0.0607053392508,-0.102672855019,872415,1164430,0.220600000000,true,SUCCESS
94.0000000000,-20.0000000000,43.2000000000,-0.107406028145,-0.235458704922,-0.0609551094549,-0.128052676776,0.174503595467,0.0464509186905,-0.0574339112444,-0.114827730990,872415,1164430,0.220600000000,true,SUCCESS
94.0000000000,-20.0000000000,46.8000000000,-0.107406028145,-0.235458704922,-0.0541969202752,-0.128052676776,0.181261784646,0.0532091078701,-0.0539360400153,-0.126285440031,872415,1164430,0.220600000000,true,SUCCESS
94.0000000000,-20.0000000000,50.4000000000,-0.107406028145,-0.235458704922,-0.0478779538543,-0.128052676776,0.187580751067,0.0595280742910,-0.0502255302906,-0.137000861236,872415,1164430,0.220600000000,true,SUCCESS
94.0000000000,-20.0000000000,54.0000000000,-0.107406028145,-0.235458704922,-0.0420231842085,-0.128052676776,0.193435520713,0.0653828439368,-0.0463170217652,-0.146931801561,872415,1164430,0.220600000000,true,SUCCESS
94.0000000000,-20.0000000000,57.6000000000,-0.107406028145,-0.235458704922,-0.0366557522059,-0.128052676776,0.198802952716,0.0707502759394,-0.0422259315096,-0.156039162974,872415,1164430,0.220600000000,true,SUCCESS
94.0000000000,-20.0000000000,61.2000000000,-0.107406028145,-0.235458704922,-0.0317968734943,-0.128052676776,0.203661831427,0.0756091546510,-0.0379683933017,-0.164287095930,872415,1164430,0.220600000000,true,SUCCESS
94.0000000000,-20.0000000000,64.8000000000,-0.107406028145,-0.235458704922,-0.0274657553091,-0.128052676776,0.207992949613,0.0799402728362,-0.0335611939247,-0.171643135772,872415,1164430,0.220600000000,true,SUCCESS
94.0000000000,-20.0000000000,68.4000000000,-0.107406028145,-0.235458704922,-0.0236795198181,-0.128052676776,0.211779185104,0.0837265083272,-0.0290217072355,-0.178078330742,872415,1164430,0.220600000000,true,SUCCESS
94.0000000000,-20.0000000000,72.0000000000,-0.107406028145,-0.235458704922,-0.0204531362556,-0.128052676776,0.215005568666,0.0869528918897,-0.0243678258644,-0.183567354401,872415,1164430,0.220600000000,true,SUCCESS
94.0000000000,-20.0000000000,75.6000000000,-0.107406028145,-0.235458704922,-0.0177993607445,-0.128052676776,0.217659344177,0.0896066674008,-0.0196178911060,-0.188088606796,872415,1164430,0.220600000000,true,SUCCESS
94.0000000000,-20.0000000000,79.2000000000,-0.107406028145,-0.235458704922,-0.0157286852165,-0.128052676776,0.219730019705,0.0916773429288,-0.0147906210231,-0.191624299973,872415,1164430,0.220600000000,true,SUCCESS
94.0000000000,-20.0000000000,82.8000000000,-0.107406028145,-0.235458704922,-0.0142492979430,-0.128052676776,0.221209406979,0.0931567302023,-0.00990503651683,-0.194160519740,872415,1164430,0.220600000000,true,SUCCESS
94.0000000000,-20.0000000000,86.4000000000,-0.107406028145,-0.235458704922,-0.0133670483610,-0.128052676776,0.222091656561,0.0940389797843,-0.00498038731280,-0.195687288759,872415,1164430,0.220600000000,true,SUCCESS
94.0000000000,-20.0000000000,90.0000000000,-0.107406028145,-0.235458704922,-0.0130854252569,-0.128052676776,0.222373279665,0.0943206028884,-3.60761678842e-05,-0.196198600558,872415,1164430,0.220600000000,true,SUCCESS
94.0000000000,-20.0000000000,93.6000000000,-0.107406028145,-0.235458704922,-0.0134055425549,-0.128052676776,0.222053162367,0.0940004855904,0.00490841711739,-0.195692444053,872415,1164430,0.220600000000,true,SUCCESS
94.0000000000,-20.0000000000,97.2000000000,-0.107406028145,-0.235458704922,-0.0143261351158,-0.128052676776,0.221132569806,0.0930798930296,0.00983361210837,-0.194170810582,872415,1164430,0.220600000000,true,SUCCESS
