z_sphere_mm,alpha_deg,Fmax_mN,phi_at_Fmax_deg,Fmin_mN,phi_at_Fmin_deg,DeltaFx_ball_at_Fmax_mN,Fx_hold_corr_mN,positive_phase_count,negative_phase_count,all_sampled_phi_negative,release_candidate,phase_points,status
40.0000000000,-20,3.14787782995,270.000000000,-0.613330173051,90.0000000000,3.27599239219,-0.128114562247,10,3,false,true,13,SUCCESS
50.0000000000,-20,0.758916801940,270.000000000,0.519130015790,90.0000000000,0.887099043735,-0.128182241795,13,0,false,true,13,SUCCESS
60.0000000000,-20,0.547305577637,90.0000000000,0.0227979032316,270.000000000,0.675583574459,-0.128277996822,13,0,false,true,13,SUCCESS
70.0000000000,-20,0.375253876878,90.0000000000,-0.163269858096,270.000000000,0.503342793325,-0.128088916447,8,5,false,true,13,SUCCESS
80.0000000000,-20,0.234379950395,90.0000000000,-0.217797838273,270.000000000,0.362405327945,-0.128025377550,8,5,false,true,13,SUCCESS
90.0000000000,-20,0.128734512855,90.0000000000,-0.220420083483,270.000000000,0.256937539835,-0.128203026981,5,8,false,true,13,SUCCESS
100.000000000,-20,0.0537385769015,90.0000000000,-0.205203037075,270.000000000,0.181890152225,-0.128151575323,3,10,false,true,13,SUCCESS
110.000000000,-20,0.00156756051745,90.0000000000,-0.186987398493,270.000000000,0.129651692368,-0.128084131850,1,12,false,true,13,SUCCESS
120.000000000,-20,-0.0346199843972,90.0000000000,-0.174104936137,270.000000000,0.0935240488251,-0.128144033222,0,13,true,false,13,SUCCESS
130.000000000,-20,-0.0605579320434,90.0000000000,-0.162508912276,270.000000000,0.0675576601535,-0.128115592197,0,13,true,false,13,SUCCESS
140.000000000,-20,-0.0792595297832,90.0000000000,-0.153227511322,270.000000000,0.0489075174921,-0.128167047275,0,13,true,false,13,SUCCESS
150.000000000,-20,-0.0931632466135,90.0000000000,-0.146019967435,270.000000000,0.0349848027052,-0.128148049319,0,13,true,false,13,SUCCESS
160.000000000,-20,-0.103425970153,90.0000000000,-0.138853963361,270.000000000,0.0246927326413,-0.128118702795,0,13,true,false,13,SUCCESS
