z_sphere_mm,alpha_deg,phi_deg,Fx_B0_raw_mN,Fx_B1_raw_mN,Fx_B2_raw_mN,Fx_hold_corr_mN,DeltaFx_ball_mN,Fx_total_corr_mN,Fy_total_corr_mN,Fz_total_corr_mN,elements,DOF,min_quality,same_mesh_verified,status
40.0000000000,-20,0.00000000000,-0.0719973467870,-0.200111909034,1.17960430408,-0.128114562247,1.37971621312,1.25160165087,-2.51793395590,-0.671995142385,872135,1164000,0.219600000000,true,SUCCESS
40.0000000000,-20,30.0000000000,-0.0719973467870,-0.200111909034,0.243164132999,-0.128114562247,0.443276042034,0.315161479786,-2.17680094540,-3.80721564482,872135,1164000,0.219600000000,true,SUCCESS
40.0000000000,-20,60.0000000000,-0.0719973467870,-0.200111909034,-0.437389834409,-0.128114562247,-0.237277925374,-0.365392487622,-1.25505973961,-6.09785331274,872135,1164000,0.219600000000,true,SUCCESS
40.0000000000,-20,90.0000000000,-0.0719973467870,-0.200111909034,-0.685327519838,-0.128114562247,-0.485215610804,-0.613330173051,0.000298997444187,-6.93579881107,872135,1164000,0.219600000000,true,SUCCESS
40.0000000000,-20,120.000000000,-0.0719973467870,-0.200111909034,-0.437041133948,-0.128114562247,-0.236929224913,-0.365043787161,1.25554367921,-6.09937233017,872135,1164000,0.219600000000,true,SUCCESS
40.0000000000,-20,150.000000000,-0.0719973467870,-0.200111909034,0.243738061766,-0.128114562247,0.443849970800,0.315735408553,2.17698413013,-3.80987546338,872135,1164000,0.219600000000,true,SUCCESS
40.0000000000,-20,180.000000000,-0.0719973467870,-0.200111909034,1.18021963493,-0.128114562247,1.38033154396,1.25221698172,2.51773197709,-0.675111860178,872135,1164000,0.219600000000,true,SUCCESS
40.0000000000,-20,210.000000000,-0.0719973467870,-0.200111909034,2.12430102678,-0.128114562247,2.32441293581,2.19629837356,2.18384333727,2.46780809349,872135,1164000,0.219600000000,true,SUCCESS
40.0000000000,-20,240.000000000,-0.0719973467870,-0.200111909034,2.82021950842,-0.128114562247,3.02033141745,2.89221685520,1.26213177864,4.77392334358,872135,1164000,0.219600000000,true,SUCCESS
40.0000000000,-20,270.000000000,-0.0719973467870,-0.200111909034,3.07588048316,-0.128114562247,3.27599239219,3.14787782995,-0.000441682694008,5.61964698152,872135,1164000,0.219600000000,true,SUCCESS
40.0000000000,-20,300.000000000,-0.0719973467870,-0.200111909034,2.81995287927,-0.128114562247,3.02006478830,2.89195022606,-1.26293073501,4.77552104197,872135,1164000,0.219600000000,true,SUCCESS
40.0000000000,-20,330.000000000,-0.0719973467870,-0.200111909034,2.12380917196,-0.128114562247,2.32392108100,2.19580651875,-2.18440083233,2.47054658600,872135,1164000,0.219600000000,true,SUCCESS
40.0000000000,-20,360.000000000,-0.0719973467870,-0.200111909034,1.17960430494,-0.128114562247,1.37971621397,1.25160165172,-2.51793395563,-0.671995144749,872135,1164000,0.219600000000,true,SUCCESS
50.0000000000,-20,0.00000000000,0.412478623611,0.284296381815,1.04557362252,-0.128182241795,0.761277240700,0.633094998904,-1.07508051293,-0.0375995615518,872085,1163932,0.220600000000,true,SUCCESS
50.0000000000,-20,30.0000000000,0.412478623611,0.284296381815,0.986917077076,-0.128182241795,0.702620695261,0.574438453466,-0.931324394086,-1.61345093594,872085,1163932,0.220600000000,true,SUCCESS
50.0000000000,-20,60.0000000000,0.412478623611,0.284296381815,0.945783141965,-0.128182241795,0.661486760150,0.533304518354,-0.538821855285,-2.76516332100,872085,1163932,0.220600000000,true,SUCCESS
50.0000000000,-20,90.0000000000,0.412478623611,0.284296381815,0.931608639401,-0.128182241795,0.647312257586,0.519130015790,-0.00275154822525,-3.18626299459,872085,1163932,0.220600000000,true,SUCCESS
50.0000000000,-20,120.000000000,0.412478623611,0.284296381815,0.947394348034,-0.128182241795,0.663097966218,0.534915724423,0.534062816220,-2.76498872630,872085,1163932,0.220600000000,true,SUCCESS
50.0000000000,-20,150.000000000,0.412478623611,0.284296381815,0.989698215490,-0.128182241795,0.705401833675,0.577219591879,0.928606070731,-1.61316602378,872085,1163932,0.220600000000,true,SUCCESS
50.0000000000,-20,180.000000000,0.412478623611,0.284296381815,1.04876993765,-0.128182241795,0.764473555838,0.636291314043,1.07516858186,-0.0372981703520,872085,1163932,0.220600000000,true,SUCCESS
50.0000000000,-20,210.000000000,0.412478623611,0.284296381815,1.10957856047,-0.128182241795,0.825282178654,0.697099936859,0.933663148902,1.54143440744,872085,1163932,0.220600000000,true,SUCCESS
50.0000000000,-20,240.000000000,0.412478623611,0.284296381815,1.15504274790,-0.128182241795,0.870746366086,0.742564124291,0.541182229931,2.69895699586,872085,1163932,0.220600000000,true,SUCCESS
50.0000000000,-20,270.000000000,0.412478623611,0.284296381815,1.17139542555,-0.128182241795,0.887099043735,0.758916801940,0.00288285665620,3.12298566855,872085,1163932,0.220600000000,true,SUCCESS
50.0000000000,-20,300.000000000,0.412478623611,0.284296381815,1.15345763920,-0.128182241795,0.869161257380,0.740979015585,-0.536182193579,2.69883019745,872085,1163932,0.220600000000,true,SUCCESS
50.0000000000,-20,330.000000000,0.412478623611,0.284296381815,1.10682351879,-0.128182241795,0.822527136971,0.694344895175,-0.930747067606,1.54119729452,872085,1163932,0.220600000000,true,SUCCESS
50.0000000000,-20,360.000000000,0.412478623611,0.284296381815,1.04557362248,-0.128182241795,0.761277240660,0.633094998864,-1.07508051292,-0.0375995613988,872085,1163932,0.220600000000,true,SUCCESS
60.0000000000,-20,0.00000000000,0.0593560504666,-0.0689219463558,0.342223238685,-0.128277996822,0.411145185041,0.282867188219,-0.502230365795,0.0999850594054,871414,1163067,0.210300000000,true,SUCCESS
60.0000000000,-20,30.0000000000,0.0593560504666,-0.0689219463558,0.473793902197,-0.128277996822,0.542715848553,0.414437851730,-0.434699222423,-0.712946308765,871414,1163067,0.210300000000,true,SUCCESS
60.0000000000,-20,60.0000000000,0.0593560504666,-0.0689219463558,0.570766041142,-0.128277996822,0.639687987498,0.511409990676,-0.250992356554,-1.30725473526,871414,1163067,0.210300000000,true,SUCCESS
60.0000000000,-20,90.0000000000,0.0593560504666,-0.0689219463558,0.606661628104,-0.128277996822,0.675583574459,0.547305577637,-0.000338274761964,-1.52452164817,871414,1163067,0.210300000000,true,SUCCESS
60.0000000000,-20,120.000000000,0.0593560504666,-0.0689219463558,0.571611119223,-0.128277996822,0.640533065579,0.512255068757,0.250379834271,-1.30694965113,871414,1163067,0.210300000000,true,SUCCESS
60.0000000000,-20,150.000000000,0.0593560504666,-0.0689219463558,0.475249341137,-0.128277996822,0.544171287493,0.415893290670,0.434266026171,-0.712430193069,871414,1163067,0.210300000000,true,SUCCESS
60.0000000000,-20,180.000000000,0.0593560504666,-0.0689219463558,0.343890775445,-0.128277996822,0.412812721801,0.284534724979,0.502052544515,0.100561609114,871414,1163067,0.210300000000,true,SUCCESS
60.0000000000,-20,210.000000000,0.0593560504666,-0.0689219463558,0.212984194227,-0.128277996822,0.281906140583,0.153628143761,0.435296676368,0.914604354925,871414,1163067,0.210300000000,true,SUCCESS
60.0000000000,-20,240.000000000,0.0593560504666,-0.0689219463558,0.117362839104,-0.128277996822,0.186284785459,0.0580067886371,0.251601832247,1.51116915609,871414,1163067,0.210300000000,true,SUCCESS
60.0000000000,-20,270.000000000,0.0593560504666,-0.0689219463558,0.0821539536981,-0.128277996822,0.151075900054,0.0227979032316,0.000184496990469,1.72958106608,871414,1163067,0.210300000000,true,SUCCESS
60.0000000000,-20,300.000000000,0.0593560504666,-0.0689219463558,0.116540380489,-0.128277996822,0.185462326844,0.0571843300220,-0.251308887129,1.51089768978,871414,1163067,0.210300000000,true,SUCCESS
60.0000000000,-20,330.000000000,0.0593560504666,-0.0689219463558,0.211551374868,-0.128277996822,0.280473321224,0.152195324402,-0.435207100723,0.914121856362,871414,1163067,0.210300000000,true,SUCCESS
60.0000000000,-20,360.000000000,0.0593560504666,-0.0689219463558,0.342223238755,-0.128277996822,0.411145185111,0.282867188289,-0.502230365745,0.0999850589521,871414,1163067,0.210300000000,true,SUCCESS
70.0000000000,-20,0.00000000000,0.218071051819,0.0899821353720,0.323366768306,-0.128088916447,0.233384632934,0.105295716487,-0.276366215807,0.102657502465,871852,1163645,0.220000000000,true,SUCCESS
70.0000000000,-20,30.0000000000,0.218071051819,0.0899821353720,0.458146666949,-0.128088916447,0.368164531577,0.240075615130,-0.239440930090,-0.350982867873,871852,1163645,0.220000000000,true,SUCCESS
70.0000000000,-20,60.0000000000,0.218071051819,0.0899821353720,0.557022375210,-0.128088916447,0.467040239838,0.338951323391,-0.138532672891,-0.682631240609,871852,1163645,0.220000000000,true,SUCCESS
70.0000000000,-20,90.0000000000,0.218071051819,0.0899821353720,0.593324928697,-0.128088916447,0.503342793325,0.375253876878,-0.000679959289039,-0.803768177965,871852,1163645,0.220000000000,true,SUCCESS
70.0000000000,-20,120.000000000,0.218071051819,0.0899821353720,0.557239518254,-0.128088916447,0.467257382882,0.339168466435,0.137291494690,-0.682108228043,871852,1163645,0.220000000000,true,SUCCESS
70.0000000000,-20,150.000000000,0.218071051819,0.0899821353720,0.458522932717,-0.128088916447,0.368540797345,0.240451880898,0.238524386013,-0.350077714444,871852,1163645,0.220000000000,true,SUCCESS
70.0000000000,-20,180.000000000,0.218071051819,0.0899821353720,0.323801500745,-0.128088916447,0.233819365373,0.105730448926,0.275893672359,0.103701523447,871852,1163645,0.220000000000,true,SUCCESS
70.0000000000,-20,210.000000000,0.218071051819,0.0899821353720,0.189261288511,-0.128088916447,0.0992791531388,-0.0288097633081,0.239274476259,0.557812811337,871852,1163645,0.220000000000,true,SUCCESS
70.0000000000,-20,240.000000000,0.218071051819,0.0899821353720,0.0908645066141,-0.128088916447,0.000882371242098,-0.127206545205,0.138366845159,0.890405023594,871852,1163645,0.220000000000,true,SUCCESS
70.0000000000,-20,270.000000000,0.218071051819,0.0899821353720,0.0548011937224,-0.128088916447,-0.0351809416496,-0.163269858096,0.000208668147441,1.01201487880,871852,1163645,0.220000000000,true,SUCCESS
70.0000000000,-20,300.000000000,0.218071051819,0.0899821353720,0.0906469172078,-0.128088916447,0.000664781835809,-0.127424134611,-0.138068875460,0.889884015237,871852,1163645,0.220000000000,true,SUCCESS
