z_sphere_mm,alpha_deg,phi_deg,mesh_level,Fx_B0_raw_mN,Fx_B1_raw_mN,Fx_B2_raw_mN,Fx_hold_corr_mN,DeltaFx_ball_mN,Fx_total_corr_mN,Fy_total_corr_mN,Fz_total_corr_mN,elements,DOF,min_quality,same_mesh_verified,release_candidate,status
60.0,-20.0,0.0,LOCAL_M03,0.0593560504692,-0.0689219463702,0.342223238946,-0.128277996839,0.411145185316,0.282867188477,-0.502230365613,0.0999850577537,871414,1163067,0.2103,True,MAGNETIC_RELEASE_CANDIDATE,SUCCESS
60.0,-20.0,45.0,LOCAL_M03,0.0593560504692,-0.0689219463702,0.528577772588,-0.128277996839,0.597499718958,0.469221722118,-0.354891220656,-1.04931107158,871414,1163067,0.2103,True,MAGNETIC_RELEASE_CANDIDATE,SUCCESS
60.0,-20.0,90.0,LOCAL_M03,0.0593560504692,-0.0689219463702,0.606661628049,-0.128277996839,0.675583574419,0.54730557758,-0.000338274785765,-1.52452164788,871414,1163067,0.2103,True,MAGNETIC_RELEASE_CANDIDATE,SUCCESS
60.0,-20.0,135.0,LOCAL_M03,0.0593560504692,-0.0689219463702,0.529769958543,-0.128277996839,0.598691904913,0.470413908074,0.35435576558,-1.04888398017,871414,1163067,0.2103,True,MAGNETIC_RELEASE_CANDIDATE,SUCCESS
60.0,-20.0,180.0,LOCAL_M03,0.0593560504692,-0.0689219463702,0.343890775418,-0.128277996839,0.412812721788,0.284534724949,0.502052544506,0.100561609307,871414,1163067,0.2103,True,MAGNETIC_RELEASE_CANDIDATE,SUCCESS
60.0,-20.0,225.0,LOCAL_M03,0.0593560504692,-0.0689219463702,0.158873966477,-0.128277996839,0.227795912848,0.0995179160082,0.355613691198,1.25209470165,871414,1163067,0.2103,True,MAGNETIC_RELEASE_CANDIDATE,SUCCESS
60.0,-20.0,270.0,LOCAL_M03,0.0593560504692,-0.0689219463702,0.082153953716,-0.128277996839,0.151075900086,0.0227979032468,0.000184497000524,1.72958106594,871414,1163067,0.2103,True,MAGNETIC_RELEASE_CANDIDATE,SUCCESS
60.0,-20.0,315.0,LOCAL_M03,0.0593560504692,-0.0689219463702,0.157707898497,-0.128277996839,0.226629844867,0.0983518480275,-0.355409835187,1.25170643479,871414,1163067,0.2103,True,MAGNETIC_RELEASE_CANDIDATE,SUCCESS
60.0,-20.0,360.0,LOCAL_M03,0.0593560504692,-0.0689219463702,0.342223238768,-0.128277996839,0.411145185139,0.282867188299,-0.502230365738,0.0999850588876,871414,1163067,0.2103,True,MAGNETIC_RELEASE_CANDIDATE,SUCCESS
80.0,-20.0,0.0,LOCAL_M03,-0.0185818322938,-0.146607209805,-0.0101823053383,-0.128025377511,0.136424904466,0.00839952695542,-0.152828795792,0.0878827606948,872672,1164761,0.2167,True,MAGNETIC_RELEASE_CANDIDATE,SUCCESS
80.0,-20.0,45.0,LOCAL_M03,-0.0185818322938,-0.146607209805,0.149690698284,-0.128025377511,0.296297908089,0.168272530578,-0.108105812433,-0.276654821828,872672,1164761,0.2167,True,MAGNETIC_RELEASE_CANDIDATE,SUCCESS
80.0,-20.0,90.0,LOCAL_M03,-0.0185818322938,-0.146607209805,0.215798117954,-0.128025377511,0.362405327759,0.234379950248,-0.000220098672788,-0.42746034698,872672,1164761,0.2167,True,MAGNETIC_RELEASE_CANDIDATE,SUCCESS
80.0,-20.0,135.0,LOCAL_M03,-0.0185818322938,-0.146607209805,0.149289097823,-0.128025377511,0.295896307627,0.167870930117,0.107729304929,-0.276482022009,872672,1164761,0.2167,True,MAGNETIC_RELEASE_CANDIDATE,SUCCESS
80.0,-20.0,180.0,LOCAL_M03,-0.0185818322938,-0.146607209805,-0.0107525097748,-0.128025377511,0.13585470003,0.00782932251892,0.152608406502,0.0881232795136,872672,1164761,0.2167,True,MAGNETIC_RELEASE_CANDIDATE,SUCCESS
80.0,-20.0,225.0,LOCAL_M03,-0.0185818322938,-0.146607209805,-0.170450477419,-0.128025377511,-0.0238432676144,-0.151868645125,0.108028689524,0.453062757966,872672,1164761,0.2167,True,MAGNETICALLY_HELD,SUCCESS
80.0,-20.0,270.0,LOCAL_M03,-0.0185818322938,-0.146607209805,-0.236379670606,-0.128025377511,-0.0897724608012,-0.217797838312,3.04294362374e-06,0.604275632925,872672,1164761,0.2167,True,MAGNETICALLY_HELD,SUCCESS
80.0,-20.0,315.0,LOCAL_M03,-0.0185818322938,-0.146607209805,-0.170045687216,-0.128025377511,-0.0234384774113,-0.151463854922,-0.108089627115,0.45289541315,872672,1164761,0.2167,True,MAGNETICALLY_HELD,SUCCESS
80.0,-20.0,360.0,LOCAL_M03,-0.0185818322938,-0.146607209805,-0.0101823052503,-0.128025377511,0.136424904554,0.00839952704349,-0.152828795778,0.0878827605581,872672,1164761,0.2167,True,MAGNETIC_RELEASE_CANDIDATE,SUCCESS
100.0,-20.0,0.0,LOCAL_M03,0.0917073284693,-0.0364442467997,0.0160948370212,-0.128151575269,0.0525390838209,-0.0756124914481,-0.0564104654481,0.0540072299246,872842,1164932,0.2206,True,MAGNETICALLY_HELD,SUCCESS
100.0,-20.0,45.0,LOCAL_M03,0.0917073284693,-0.0364442467997,0.107614855116,-0.128151575269,0.144059101916,0.0159075266469,-0.0396571813197,-0.0814693247499,872842,1164932,0.2206,True,MAGNETIC_RELEASE_CANDIDATE,SUCCESS
100.0,-20.0,90.0,LOCAL_M03,0.0917073284693,-0.0364442467997,0.14544590597,-0.128151575269,0.18189015277,0.053738577501,0.000293965643551,-0.137648240756,872842,1164932,0.2206,True,MAGNETIC_RELEASE_CANDIDATE,SUCCESS
100.0,-20.0,135.0,LOCAL_M03,0.0917073284693,-0.0364442467997,0.107407144393,-0.128151575269,0.143851391193,0.0156998159238,0.0400579049952,-0.0816783164206,872842,1164932,0.2206,True,MAGNETIC_RELEASE_CANDIDATE,SUCCESS
100.0,-20.0,180.0,LOCAL_M03,0.0917073284693,-0.0364442467997,0.0158002214618,-0.128151575269,0.0522444682615,-0.0759071070075,0.0563602407327,0.0537104054411,872842,1164932,0.2206,True,MAGNETICALLY_HELD,SUCCESS
100.0,-20.0,225.0,LOCAL_M03,0.0917073284693,-0.0364442467997,-0.0756928413335,-0.128151575269,-0.0392485945338,-0.167400169803,0.0396335160403,0.189266694028,872842,1164932,0.2206,True,MAGNETICALLY_HELD,SUCCESS
100.0,-20.0,270.0,LOCAL_M03,0.0917073284693,-0.0364442467997,-0.11349570835,-0.128151575269,-0.0770514615501,-0.205203036819,-0.000342760800272,0.245527131111,872842,1164932,0.2206,True,MAGNETICALLY_HELD,SUCCESS
100.0,-20.0,315.0,LOCAL_M03,0.0917073284693,-0.0364442467997,-0.0754839020556,-0.128151575269,-0.0390396552559,-0.167191230525,-0.0401332595592,0.189477472801,872842,1164932,0.2206,True,MAGNETICALLY_HELD,SUCCESS
