z_sphere_mm,mode,phi_deg,Fx_raw_mN,Fy_raw_mN,Fz_raw_mN,Fx_self_corr_mN,Fx_hold_corr_mN,Fx_total_corr_mN,DeltaFx_ball_mN,elements,DOF,min_quality,status
110.000000000,B0,0,0.713491912637,-0.448722339827,-0.832722933848,0.00000000000,,,,61022,81932,0.201600000000,SUCCESS
110.000000000,B1,0,0.588999251111,-0.448626200926,-0.832627405423,0.713491912637,-0.124492661526,,,61022,81932,0.201600000000,SUCCESS
110.000000000,B2,0.00000000000,0.535737286053,-0.489655337466,-0.890003335297,0.713491912637,-0.124492661526,-0.177754626583,-0.0532619650573,61022,81932,0.201600000000,SUCCESS
110.000000000,B2,45.0000000000,0.593777299144,-0.477582007350,-0.973248122056,0.713491912637,-0.124492661526,-0.119714613493,0.00477804803336,61022,81932,0.201600000000,SUCCESS
110.000000000,B2,90.0000000000,0.617747439097,-0.448493817972,-1.00775076252,0.713491912637,-0.124492661526,-0.0957444735396,0.0287481879865,61022,81932,0.201600000000,SUCCESS
110.000000000,B2,135.000000000,0.593599944244,-0.419422210816,-0.973320713358,0.713491912637,-0.124492661526,-0.119891968393,0.00460069313361,61022,81932,0.201600000000,SUCCESS
110.000000000,B2,180.000000000,0.535487201001,-0.407390386980,-0.890104370864,0.713491912637,-0.124492661526,-0.178004711636,-0.0535120501099,61022,81932,0.201600000000,SUCCESS
110.000000000,B2,225.000000000,0.477457245090,-0.419454450934,-0.806828107890,0.713491912637,-0.124492661526,-0.236034667547,-0.111542006021,61022,81932,0.201600000000,SUCCESS
110.000000000,B2,270.000000000,0.453496126091,-0.448553989882,-0.772296284169,0.713491912637,-0.124492661526,-0.259995786546,-0.135503125020,61022,81932,0.201600000000,SUCCESS
110.000000000,B2,315.000000000,0.477633563822,-0.477634863126,-0.806757811859,0.713491912637,-0.124492661526,-0.235858348815,-0.111365687289,61022,81932,0.201600000000,SUCCESS
110.000000000,B2,360.000000000,0.535737286086,-0.489655337409,-0.890003336516,0.713491912637,-0.124492661526,-0.177754626551,-0.0532619650244,61022,81932,0.201600000000,SUCCESS
100.000000000,B0,0,0.477937003482,0.433879668894,-0.136434374244,0.00000000000,,,,61180,82190,0.222600000000,SUCCESS
100.000000000,B1,0,0.353557228807,0.433810005188,-0.136394771802,0.477937003482,-0.124379774675,,,61180,82190,0.222600000000,SUCCESS
100.000000000,B2,0.00000000000,0.265554463900,0.356323637165,-0.204277765848,0.477937003482,-0.124379774675,-0.212382539583,-0.0880027649076,61180,82190,0.222600000000,SUCCESS
