z_mm,angle_deg,Fx_mN
141.0,0.00000000,-0.731203914713
141.0,10.00000000,-0.727434713721
141.0,20.00000000,-0.722363597214
141.0,30.00000000,-0.718586902834
141.0,40.00000000,-0.716865657432
141.0,50.00000000,-0.712577727855
141.0,60.00000000,-0.711739491075
141.0,70.00000000,-0.704240420135
141.0,80.00000000,-0.710012820261
141.0,90.00000000,-0.707206943947
141.0,100.00000000,-0.708552659127
141.0,110.00000000,-0.708926918793
141.0,120.00000000,-0.718411999806
141.0,130.00000000,-0.728838032334
141.0,140.00000000,-0.726598683289
141.0,150.00000000,-0.722818600439
141.0,160.00000000,-0.725626659965
141.0,170.00000000,-0.750234837437
141.0,180.00000000,-0.749975980610
141.0,190.00000000,-0.778567299501
141.0,200.00000000,-0.776327844856
141.0,210.00000000,-0.761731530825
141.0,220.00000000,-0.782226322944
141.0,230.00000000,-0.770443765260
141.0,240.00000000,-0.741856392008
141.0,250.00000000,-0.750287074716
141.0,260.00000000,-0.780728565756
141.0,270.00000000,-0.765174706378
141.0,280.00000000,-0.765991981566
141.0,290.00000000,-0.782093808064
141.0,300.00000000,-0.776286947006
141.0,310.00000000,-0.780260445284
141.0,320.00000000,-0.794970462432
141.0,330.00000000,-0.779127759181
141.0,340.00000000,-0.737907927618
141.0,350.00000000,-0.735620248418
141.0,360.00000000,-0.798095441481
