mode,z_mm,phi_deg,ux,uy,uz,solution,linear_solver,tolerance,mesh_elements,dofs,Fx_N,Fx_mN,Fx_mN_from_N,status,reproducibility,mesh_validation
ON,125.00000000,0.00000000,0.500000000000,0.866025403784,-0.00000000000,sol1,pardiso,stol=1e-6,60636,NA,0.00102587296310,1.02587296310,1.02587296310,SUCCESS,UNKNOWN,UNKNOWN
ON,125.00000000,10.00000000,0.500000000000,0.852868531952,-0.150383733180,sol2,pardiso,stol=1e-6,60636,NA,0.00103548084911,1.03548084911,1.03548084911,SUCCESS,UNKNOWN,UNKNOWN
ON,125.00000000,20.00000000,0.500000000000,0.813797681349,-0.296198132726,sol3,pardiso,stol=1e-6,60636,NA,0.00104478918611,1.04478918611,1.04478918611,SUCCESS,UNKNOWN,UNKNOWN
ON,125.00000000,30.00000000,0.500000000000,0.750000000000,-0.433012701892,sol4,pardiso,stol=1e-6,60636,NA,0.00105351512840,1.05351512840,1.05351512840,SUCCESS,UNKNOWN,UNKNOWN
ON,125.00000000,40.00000000,0.500000000000,0.663413948169,-0.556670399226,sol5,pardiso,stol=1e-6,60636,NA,0.00106139352086,1.06139352086,1.06139352086,SUCCESS,UNKNOWN,UNKNOWN
ON,125.00000000,50.00000000,0.500000000000,0.556670399226,-0.663413948169,sol6,pardiso,stol=1e-6,60636,NA,0.00106818495892,1.06818495892,1.06818495892,SUCCESS,UNKNOWN,UNKNOWN
ON,125.00000000,60.00000000,0.500000000000,0.433012701892,-0.750000000000,sol7,pardiso,stol=1e-6,60636,NA,0.00107368306430,1.07368306430,1.07368306430,SUCCESS,UNKNOWN,UNKNOWN
ON,125.00000000,70.00000000,0.500000000000,0.296198132726,-0.813797681349,sol8,pardiso,stol=1e-6,60636,NA,0.00107772075964,1.07772075964,1.07772075964,SUCCESS,UNKNOWN,UNKNOWN
ON,125.00000000,80.00000000,0.500000000000,0.150383733180,-0.852868531952,sol9,pardiso,stol=1e-6,60636,NA,0.00108017534606,1.08017534606,1.08017534606,SUCCESS,UNKNOWN,UNKNOWN
ON,125.00000000,90.00000000,0.500000000000,5.30287619362e-17,-0.866025403784,sol10,pardiso,stol=1e-6,60636,NA,0.00108097223466,1.08097223466,1.08097223466,SUCCESS,UNKNOWN,UNKNOWN
ON,125.00000000,100.00000000,0.500000000000,-0.150383733180,-0.852868531952,sol11,pardiso,stol=1e-6,60636,NA,0.00108008721292,1.08008721292,1.08008721292,SUCCESS,UNKNOWN,UNKNOWN
ON,125.00000000,110.00000000,0.500000000000,-0.296198132726,-0.813797681349,sol12,pardiso,stol=1e-6,60636,NA,0.00107754718033,1.07754718033,1.07754718033,SUCCESS,UNKNOWN,UNKNOWN
ON,125.00000000,120.00000000,0.500000000000,-0.433012701892,-0.750000000000,sol13,pardiso,stol=1e-6,60636,NA,0.00107342933177,1.07342933177,1.07342933177,SUCCESS,UNKNOWN,UNKNOWN
ON,125.00000000,130.00000000,0.500000000000,-0.556670399226,-0.663413948169,sol14,pardiso,stol=1e-6,60636,NA,0.00106785880555,1.06785880555,1.06785880555,SUCCESS,UNKNOWN,UNKNOWN
ON,125.00000000,140.00000000,0.500000000000,-0.663413948169,-0.556670399226,sol15,pardiso,stol=1e-6,60636,NA,0.00106100488483,1.06100488483,1.06100488483,SUCCESS,UNKNOWN,UNKNOWN
ON,125.00000000,150.00000000,0.500000000000,-0.750000000000,-0.433012701892,sol16,pardiso,stol=1e-6,60636,NA,0.00105307584474,1.05307584474,1.05307584474,SUCCESS,UNKNOWN,UNKNOWN
ON,125.00000000,160.00000000,0.500000000000,-0.813797681349,-0.296198132726,sol17,pardiso,stol=1e-6,60636,NA,0.00104431262693,1.04431262693,1.04431262693,SUCCESS,UNKNOWN,UNKNOWN
ON,125.00000000,170.00000000,0.500000000000,-0.852868531952,-0.150383733180,sol18,pardiso,stol=1e-6,60636,NA,0.00103498151228,1.03498151228,1.03498151228,SUCCESS,UNKNOWN,UNKNOWN
ON,125.00000000,180.00000000,0.500000000000,-0.866025403784,-1.06057523872e-16,sol19,pardiso,stol=1e-6,60636,NA,0.00102536602866,1.02536602866,1.02536602866,SUCCESS,UNKNOWN,UNKNOWN
ON,125.00000000,190.00000000,0.500000000000,-0.852868531952,0.150383733180,sol20,pardiso,stol=1e-6,60636,NA,0.00101575833828,1.01575833828,1.01575833828,SUCCESS,UNKNOWN,UNKNOWN
ON,125.00000000,200.00000000,0.500000000000,-0.813797681349,0.296198132726,sol21,pardiso,stol=1e-6,60636,NA,0.00100645035650,1.00645035650,1.00645035650,SUCCESS,UNKNOWN,UNKNOWN
ON,125.00000000,210.00000000,0.500000000000,-0.750000000000,0.433012701892,sol22,pardiso,stol=1e-6,60636,NA,0.000997724885578,0.997724885578,0.997724885578,SUCCESS,UNKNOWN,UNKNOWN
ON,125.00000000,220.00000000,0.500000000000,-0.663413948169,0.556670399226,sol23,pardiso,stol=1e-6,60636,NA,0.000989847023324,0.989847023324,0.989847023324,SUCCESS,UNKNOWN,UNKNOWN
ON,125.00000000,230.00000000,0.500000000000,-0.556670399226,0.663413948169,sol24,pardiso,stol=1e-6,60636,NA,0.000983056111203,0.983056111203,0.983056111203,SUCCESS,UNKNOWN,UNKNOWN
ON,125.00000000,240.00000000,0.500000000000,-0.433012701892,0.750000000000,sol25,pardiso,stol=1e-6,60636,NA,0.000977558463068,0.977558463068,0.977558463068,SUCCESS,UNKNOWN,UNKNOWN
ON,125.00000000,250.00000000,0.500000000000,-0.296198132726,0.813797681349,sol26,pardiso,stol=1e-6,60636,NA,0.000973521102216,0.973521102216,0.973521102216,SUCCESS,UNKNOWN,UNKNOWN
ON,125.00000000,260.00000000,0.500000000000,-0.150383733180,0.852868531952,sol27,pardiso,stol=1e-6,60636,NA,0.000971066686265,0.971066686265,0.971066686265,SUCCESS,UNKNOWN,UNKNOWN
ON,125.00000000,270.00000000,0.500000000000,-1.59086285809e-16,0.866025403784,sol28,pardiso,stol=1e-6,60636,NA,0.000970269784203,0.970269784203,0.970269784203,SUCCESS,UNKNOWN,UNKNOWN
ON,125.00000000,280.00000000,0.500000000000,0.150383733180,0.852868531952,sol29,pardiso,stol=1e-6,60636,NA,0.000971154609582,0.971154609582,0.971154609582,SUCCESS,UNKNOWN,UNKNOWN
ON,125.00000000,290.00000000,0.500000000000,0.296198132726,0.813797681349,sol30,pardiso,stol=1e-6,60636,NA,0.000973694287098,0.973694287098,0.973694287098,SUCCESS,UNKNOWN,UNKNOWN
ON,125.00000000,300.00000000,0.500000000000,0.433012701892,0.750000000000,sol31,pardiso,stol=1e-6,60636,NA,0.000977811664218,0.977811664218,0.977811664218,SUCCESS,UNKNOWN,UNKNOWN
ON,125.00000000,310.00000000,0.500000000000,0.556670399226,0.663413948169,sol32,pardiso,stol=1e-6,60636,NA,0.000983381659868,0.983381659868,0.983381659868,SUCCESS,UNKNOWN,UNKNOWN
ON,125.00000000,320.00000000,0.500000000000,0.663413948169,0.556670399226,sol33,pardiso,stol=1e-6,60636,NA,0.000990235055058,0.990235055058,0.990235055058,SUCCESS,UNKNOWN,UNKNOWN
ON,125.00000000,330.00000000,0.500000000000,0.750000000000,0.433012701892,sol34,pardiso,stol=1e-6,60636,NA,0.000998163637423,0.998163637423,0.998163637423,SUCCESS,UNKNOWN,UNKNOWN
ON,125.00000000,340.00000000,0.500000000000,0.813797681349,0.296198132726,sol35,pardiso,stol=1e-6,60636,NA,0.00100692652125,1.00692652125,1.00692652125,SUCCESS,UNKNOWN,UNKNOWN
ON,125.00000000,350.00000000,0.500000000000,0.852868531952,0.150383733180,sol36,pardiso,stol=1e-6,60636,NA,0.00101625746583,1.01625746583,1.01625746583,SUCCESS,UNKNOWN,UNKNOWN
ON,125.00000000,360.00000000,0.500000000000,0.866025403784,2.12115047745e-16,sol37,pardiso,stol=1e-6,60636,NA,0.00102587296270,1.02587296270,1.02587296270,SUCCESS,UNKNOWN,UNKNOWN
AIR,125.00000000,0.00000000,0.500000000000,0.866025403784,-0.00000000000,sol38,pardiso,stol=1e-6,60636,NA,0.00105227299907,1.05227299907,1.05227299907,SUCCESS,UNKNOWN,UNKNOWN
ON,140.00000000,0.00000000,0.500000000000,0.866025403784,-0.00000000000,sol39,pardiso,stol=1e-6,60846,NA,-0.00128259125684,-1.28259125684,-1.28259125684,SUCCESS,UNKNOWN,UNKNOWN
