"mode","z_mm","phi_deg","Fx_mN","status","source_z1_mm","source_z2_mm"
"ON","105","0","-0.1622000074665","INTERPOLATED","100","110"
"ON","105","45","-0.09695779318799996","INTERPOLATED","100","110"
"ON","105","90","-0.06995760273199997","INTERPOLATED","100","110"
"ON","105","135","-0.09702670676000003","INTERPOLATED","100","110"
"ON","105","180","-0.162296371951","INTERPOLATED","100","110"
"ON","105","225","-0.22752158923195004","INTERPOLATED","100","110"
"ON","105","270","-0.25450632931175005","INTERPOLATED","100","110"
"ON","105","315","-0.22745422310995","INTERPOLATED","100","110"
"ON","115","0","-0.6266831191955","INTERPOLATED","110","120"
"ON","115","45","-0.5756879255895","INTERPOLATED","110","120"
"ON","115","90","-0.5545448823265","INTERPOLATED","110","120"
"ON","115","135","-0.5756443326915","INTERPOLATED","110","120"
"ON","115","180","-0.6266223107885001","INTERPOLATED","110","120"
"ON","115","225","-0.6776115728855","INTERPOLATED","110","120"
"ON","115","270","-0.698747495198","INTERPOLATED","110","120"
"ON","115","315","-0.677653976034","INTERPOLATED","110","120"
"ON","125","0","-0.024707329554000013","INTERPOLATED","120","130"
"ON","125","45","0.014218806164499997","INTERPOLATED","120","130"
"ON","125","90","0.03040743427600001","INTERPOLATED","120","130"
"ON","125","135","0.014373474787499951","INTERPOLATED","120","130"
"ON","125","180","-0.02448891707550005","INTERPOLATED","120","130"
"ON","125","225","-0.06341267710599996","INTERPOLATED","120","130"
"ON","125","270","-0.07959847523999997","INTERPOLATED","120","130"
"ON","125","315","-0.06356689094450008","INTERPOLATED","120","130"
"ON","135","0","-0.25997782472349995","INTERPOLATED","130","140"
"ON","135","45","-0.2325339072424999","INTERPOLATED","130","140"
"ON","135","90","-0.22107047280500014","INTERPOLATED","130","140"
"ON","135","135","-0.23230285537450002","INTERPOLATED","130","140"
"ON","135","180","-0.25965095658900006","INTERPOLATED","130","140"
"ON","135","225","-0.287094419366","INTERPOLATED","130","140"
"ON","135","270","-0.2985575575335","INTERPOLATED","130","140"
"ON","135","315","-0.2873256294240001","INTERPOLATED","130","140"
"ON","145","0","-0.9202018178835","INTERPOLATED","140","150"
"ON","145","45","-0.9003036428455","INTERPOLATED","140","150"
"ON","145","90","-0.8920771110745","INTERPOLATED","140","150"
"ON","145","135","-0.9003411132624999","INTERPOLATED","140","150"
"ON","145","180","-0.9202548074535","INTERPOLATED","140","150"
"ON","145","225","-0.9401531212530001","INTERPOLATED","140","150"
"ON","145","270","-0.9483797941184999","INTERPOLATED","140","150"
"ON","145","315","-0.9401156531449999","INTERPOLATED","140","150"
